feedback_id,date,channel,segment,journey_stage,region,satisfaction_score,feedback_volume,issue_category,friction_score,follow_up_required,follow_up_completed,post_action_score,comment
FB-0126,2026-01-06,Dealer,Urban Commuters,Purchase,Central,5,91,Order tracking,2,no,no,5,Order tracking was handled smoothly across the purchase journey.
FB-0256,2026-01-06,Email,Urban Commuters,Digital,Central,5,116,Connectivity pairing,2,no,no,5,Connectivity pairing matched expectations and the digital step felt effortless.
FB-0358,2026-01-06,Email,Performance Enthusiasts,Service,North,2,143,Repair turnaround,4,yes,no,2,Frustrated with repair turnaround during service; needed several contacts to resolve.
FB-0274,2026-01-07,App,Urban Commuters,Purchase,South,5,94,Order tracking,1,no,no,5,Clear and proactive handling of order tracking; very satisfied.
FB-0170,2026-01-08,Email,Performance Enthusiasts,Service,Central,4,82,Service cost transparency,2,no,no,4,Clear and proactive handling of service cost transparency; very satisfied.
FB-0273,2026-01-08,Survey,Performance Enthusiasts,Purchase,North,4,121,Delivery handover,2,no,no,4,Delivery handover was handled smoothly across the purchase journey.
FB-0275,2026-01-08,Email,Touring Owners,Digital,South,4,103,Feature discovery,2,no,no,4,Clear and proactive handling of feature discovery; very satisfied.
FB-0375,2026-01-08,Social,Performance Enthusiasts,Service,South,3,77,Service cost transparency,3,no,no,3,Service cost transparency took longer than expected but the team communicated.
FB-0033,2026-01-09,App,Performance Enthusiasts,Service,South,3,55,Repair turnaround,4,no,no,3,Mixed experience with repair turnaround; resolved eventually after follow-up.
FB-0139,2026-01-09,Dealer,First-Time Owners,Digital,North,3,97,App onboarding,4,yes,yes,4,Mixed experience with app onboarding; resolved eventually after follow-up.
FB-0215,2026-01-10,Dealer,First-Time Owners,Purchase,Central,3,74,Test ride,3,no,no,3,Test ride was acceptable but purchase could be smoother.
FB-0305,2026-01-10,Email,Urban Commuters,Ownership,Central,4,80,Documentation,1,no,no,4,Documentation was handled smoothly across the ownership journey.
FB-0330,2026-01-10,Dealer,Touring Owners,Digital,North,4,95,Feature discovery,2,yes,yes,5,Clear and proactive handling of feature discovery; very satisfied.
FB-0355,2026-01-10,App,Urban Commuters,Service,North,3,112,Repair turnaround,4,yes,yes,4,Repair turnaround was acceptable but service could be smoother.
FB-0384,2026-01-10,Email,Touring Owners,Purchase,South,4,121,Financing clarity,2,no,no,4,Financing clarity was handled smoothly across the purchase journey.
FB-0067,2026-01-11,Social,First-Time Owners,Service,North,3,65,Repair turnaround,4,yes,yes,4,Repair turnaround was acceptable but service could be smoother.
FB-0300,2026-01-12,App,First-Time Owners,Digital,North,2,56,Connectivity pairing,3,yes,yes,2,Frustrated with connectivity pairing during digital; needed several contacts to resolve.
FB-0380,2026-01-12,Social,Urban Commuters,Purchase,Central,4,88,Delivery handover,2,no,no,4,Clear and proactive handling of delivery handover; very satisfied.
FB-0383,2026-01-12,Dealer,First-Time Owners,Service,North,4,82,Appointment wait,3,no,no,4,Appointment wait matched expectations and the service step felt effortless.
FB-0441,2026-01-14,Email,Touring Owners,Ownership,Central,4,142,Warranty registration,2,no,no,4,Warranty registration matched expectations and the ownership step felt effortless.
FB-0286,2026-01-15,App,Urban Commuters,Purchase,North,4,82,Delivery handover,3,no,no,4,Delivery handover matched expectations and the purchase step felt effortless.
FB-0185,2026-01-16,Social,Urban Commuters,Digital,Central,5,69,Feature discovery,2,no,no,5,Feature discovery matched expectations and the digital step felt effortless.
FB-0379,2026-01-16,Social,First-Time Owners,Service,North,4,48,Repair turnaround,1,no,no,4,Repair turnaround matched expectations and the service step felt effortless.
FB-0189,2026-01-17,Dealer,Touring Owners,Digital,North,5,93,Connectivity pairing,1,no,no,5,Connectivity pairing matched expectations and the digital step felt effortless.
FB-0323,2026-01-17,Social,Performance Enthusiasts,Ownership,North,2,53,Insurance documentation,5,yes,no,2,Insurance documentation created friction and I expected clearer guidance.
FB-0439,2026-01-17,Email,Urban Commuters,Purchase,North,5,83,Test ride,1,no,no,5,Test ride was handled smoothly across the purchase journey.
FB-0073,2026-01-18,Survey,First-Time Owners,Ownership,Central,3,117,Insurance documentation,3,yes,no,3,Insurance documentation was acceptable but ownership could be smoother.
FB-0398,2026-01-18,Social,First-Time Owners,Ownership,North,3,81,Insurance documentation,4,yes,yes,4,Mixed experience with insurance documentation; resolved eventually after follow-up.
