feedback_id,date,channel,segment,journey_stage,region,satisfaction_score,nps_score,feedback_volume,issue_category,friction_score,follow_up_required,follow_up_completed,post_action_score,comment
FB-0411,2026-01-07,Survey,Urban Commuters,Ownership,North,4,10,113,Documentation,2,no,no,4,Documentation was handled smoothly across the ownership journey.
FB-0066,2026-01-08,App,Urban Commuters,Purchase,South,5,9,69,Financing clarity,2,no,no,5,Clear and proactive handling of financing clarity; very satisfied.
FB-0192,2026-01-08,App,Urban Commuters,Ownership,North,2,7,121,Insurance documentation,3,yes,yes,3,Insurance documentation was confusing and slowed the whole ownership experience.
FB-0390,2026-01-08,Survey,Performance Enthusiasts,Digital,South,5,10,142,Connectivity pairing,1,no,no,5,Connectivity pairing was handled smoothly across the digital journey.
FB-0251,2026-01-09,Dealer,First-Time Owners,Purchase,South,2,2,64,Financing clarity,4,yes,yes,3,Frustrated with financing clarity during purchase; needed several contacts to resolve.
FB-0263,2026-01-09,App,Urban Commuters,Purchase,South,3,5,123,Trade-in valuation,2,yes,yes,5,Trade-in valuation took longer than expected but the team communicated.
FB-0341,2026-01-09,App,Urban Commuters,Service,South,5,6,44,Parts availability,2,no,no,5,Clear and proactive handling of parts availability; very satisfied.
FB-0131,2026-01-10,Email,Urban Commuters,Digital,North,5,9,79,Feature discovery,2,no,no,5,Clear and proactive handling of feature discovery; very satisfied.
FB-0112,2026-01-12,Email,Performance Enthusiasts,Ownership,North,2,5,79,Insurance documentation,4,yes,no,2,Frustrated with insurance documentation during ownership; needed several contacts to resolve.
FB-0348,2026-01-12,Email,Touring Owners,Digital,North,4,8,104,Connectivity pairing,1,no,no,4,Connectivity pairing matched expectations and the digital step felt effortless.
FB-0393,2026-01-12,Social,Touring Owners,Service,North,4,9,56,Service cost transparency,3,no,no,4,Service cost transparency matched expectations and the service step felt effortless.
FB-0103,2026-01-13,Email,Touring Owners,Service,North,4,8,63,Service cost transparency,1,yes,yes,5,Service cost transparency was handled smoothly across the service journey.
FB-0053,2026-01-14,App,First-Time Owners,Purchase,Central,2,2,91,Financing clarity,4,yes,yes,3,Financing clarity was confusing and slowed the whole purchase experience.
FB-0274,2026-01-14,App,Urban Commuters,Purchase,North,3,6,127,Order tracking,3,yes,no,3,Mixed experience with order tracking; resolved eventually after follow-up.
FB-0027,2026-01-15,Email,Urban Commuters,Service,North,3,6,138,Appointment wait,2,yes,yes,4,Mixed experience with appointment wait; resolved eventually after follow-up.
FB-0211,2026-01-16,App,Performance Enthusiasts,Digital,North,4,8,102,Connectivity pairing,2,no,no,4,Connectivity pairing matched expectations and the digital step felt effortless.
FB-0366,2026-01-16,Email,First-Time Owners,Purchase,North,2,3,165,Test ride,3,yes,yes,4,Frustrated with test ride during purchase; needed several contacts to resolve.
FB-0047,2026-01-17,Dealer,First-Time Owners,Digital,North,3,6,107,Feature discovery,3,no,no,3,Mixed experience with feature discovery; resolved eventually after follow-up.
FB-0295,2026-01-17,Social,Performance Enthusiasts,Service,North,3,9,88,Service cost transparency,2,yes,no,3,Mixed experience with service cost transparency; resolved eventually after follow-up.
FB-0342,2026-01-17,Email,First-Time Owners,Purchase,South,1,2,90,Financing clarity,3,yes,yes,1,Financing clarity was confusing and slowed the whole purchase experience.
FB-0346,2026-01-17,Dealer,Performance Enthusiasts,Digital,Central,4,7,88,Digital service booking,2,no,no,4,Digital service booking matched expectations and the digital step felt effortless.
FB-0402,2026-01-17,Survey,First-Time Owners,Purchase,South,2,3,72,Financing clarity,4,yes,no,2,Financing clarity created friction and I expected clearer guidance.
FB-0234,2026-01-19,Email,Urban Commuters,Purchase,South,3,4,60,Financing clarity,4,yes,no,3,Mixed experience with financing clarity; resolved eventually after follow-up.
FB-0157,2026-01-20,Dealer,First-Time Owners,Purchase,North,3,8,100,Delivery handover,2,yes,yes,5,Delivery handover took longer than expected but the team communicated.
FB-0303,2026-01-21,Survey,Performance Enthusiasts,Service,South,4,6,112,Maintenance clarity,1,yes,yes,5,Clear and proactive handling of maintenance clarity; very satisfied.
FB-0386,2026-01-21,Survey,Performance Enthusiasts,Purchase,South,3,4,139,Trade-in valuation,3,yes,yes,4,Mixed experience with trade-in valuation; resolved eventually after follow-up.
FB-0028,2026-01-22,Survey,Touring Owners,Ownership,South,3,8,99,Warranty registration,3,yes,yes,4,Warranty registration took longer than expected but the team communicated.
FB-0195,2026-01-22,Survey,Urban Commuters,Service,South,4,5,82,Appointment wait,3,no,no,4,Appointment wait matched expectations and the service step felt effortless.
FB-0116,2026-01-23,Email,Urban Commuters,Purchase,North,3,8,114,Order tracking,2,yes,yes,4,Order tracking took longer than expected but the team communicated.
FB-0152,2026-01-25,Dealer,First-Time Owners,Digital,Central,4,7,109,Account access,2,no,no,4,Clear and proactive handling of account access; very satisfied.
FB-0355,2026-01-25,Survey,Urban Commuters,Purchase,Central,3,5,136,Test ride,3,yes,no,3,Test ride was acceptable but purchase could be smoother.
FB-0161,2026-01-26,Dealer,Performance Enthusiasts,Purchase,North,4,7,104,Test ride,2,no,no,4,Test ride matched expectations and the purchase step felt effortless.
FB-0329,2026-01-26,Email,Performance Enthusiasts,Ownership,Central,3,6,119,Recall communication,3,yes,yes,5,Recall communication took longer than expected but the team communicated.
FB-0340,2026-01-26,Social,First-Time Owners,Service,Central,3,2,63,Parts availability,3,yes,no,3,Mixed experience with parts availability; resolved eventually after follow-up.
FB-0178,2026-01-27,App,Urban Commuters,Service,South,4,8,48,Parts availability,2,yes,yes,5,Clear and proactive handling of parts availability; very satisfied.
FB-0378,2026-01-27,Email,First-Time Owners,Digital,South,3,5,120,Account access,3,yes,yes,5,Account access took longer than expected but the team communicated.
