timestamp,asset_id,rpm,temperature_c,vibration_mm_s,pressure_bar,torque_nm,operating_hours,error_code_count,service_delay_days,customer_satisfaction_score,anomaly_label,service_escalation_label
2026-04-01T08:00:00Z,line-01-pump-01,2600.0,72.0,2.4,3.06,105.0,620.0,0,0,8.6,0,0
2026-04-01T08:15:00Z,line-01-pump-01,2646.45,72.44,2.481,3.059,105.87,620.25,0,0,8.6,0,0
2026-04-01T08:30:00Z,line-01-pump-01,2691.61,72.88,2.557,3.055,106.74,620.5,0,0,8.6,0,0
2026-04-01T08:45:00Z,line-01-pump-01,2734.24,73.3,2.625,3.048,107.6,620.75,0,0,8.6,0,0
2026-04-01T09:00:00Z,line-01-pump-01,2773.14,73.72,2.681,3.039,108.44,621.0,0,0,8.6,0,0
2026-04-01T09:15:00Z,line-01-pump-01,2807.25,74.12,2.722,3.028,109.25,621.25,0,0,8.6,0,0
2026-04-01T09:30:00Z,line-01-pump-01,2835.61,74.5,2.745,3.015,110.03,621.5,0,0,8.6,0,0
2026-04-01T09:45:00Z,line-01-pump-01,2857.44,74.85,2.749,3.0,110.78,621.75,0,0,8.6,0,0
2026-04-01T10:00:00Z,line-01-pump-01,2872.14,75.18,2.735,2.983,111.49,622.0,0,0,8.6,0,0
2026-04-01T10:15:00Z,line-01-pump-01,2879.3,75.48,2.702,2.965,112.16,622.25,0,0,8.6,0,0
2026-04-01T10:30:00Z,line-01-pump-01,2878.71,75.74,2.653,2.946,112.77,622.5,0,0,8.6,0,0
2026-04-01T10:45:00Z,line-01-pump-01,2870.41,75.97,2.59,2.926,113.33,622.75,0,0,8.6,0,0
2026-04-01T11:00:00Z,line-01-pump-01,2854.6,76.15,2.517,2.905,113.84,623.0,0,0,8.6,0,0
2026-04-01T11:15:00Z,line-01-pump-01,2831.74,76.3,2.438,2.885,114.28,623.25,0,0,8.6,0,0
2026-04-01T11:30:00Z,line-01-pump-01,2802.46,76.41,2.356,2.864,114.65,623.5,0,0,8.6,0,0
2026-04-01T11:45:00Z,line-01-pump-01,2767.57,76.48,2.277,2.845,114.96,623.75,0,0,8.6,0,0
2026-04-01T12:00:00Z,line-01-pump-01,2728.04,76.5,2.205,2.826,115.21,624.0,0,0,8.6,0,0
2026-04-01T12:15:00Z,line-01-pump-01,2684.95,76.48,2.143,2.809,115.38,624.25,0,0,8.6,0,0
2026-04-01T12:30:00Z,line-01-pump-01,2639.51,76.42,2.095,2.792,115.47,624.5,0,0,8.6,0,0
2026-04-01T12:45:00Z,line-01-pump-01,2592.98,76.31,2.064,2.778,115.5,624.75,0,0,8.6,0,0
2026-04-01T13:00:00Z,line-01-pump-01,2546.64,93.66,2.05,2.766,115.45,625.0,1,0,7.9,1,0
2026-04-01T13:15:00Z,line-01-pump-01,2501.78,93.47,2.056,2.756,115.33,625.25,1,0,7.9,1,0
2026-04-01T13:30:00Z,line-01-pump-01,2459.64,93.25,2.081,2.748,115.14,625.5,1,0,7.9,1,0
2026-04-01T13:45:00Z,line-01-pump-01,2421.39,92.99,2.122,2.743,114.88,625.75,1,0,7.9,1,0
2026-04-01T14:00:00Z,line-01-pump-01,2388.1,92.69,2.179,2.74,114.55,626.0,1,0,7.9,1,0
2026-04-01T14:15:00Z,line-01-pump-01,2360.67,92.37,2.248,2.74,114.15,626.25,1,0,7.9,1,0
2026-04-01T14:30:00Z,line-01-pump-01,2339.88,74.51,2.325,2.743,113.69,626.5,0,0,8.6,0,0
2026-04-01T14:45:00Z,line-01-pump-01,2326.29,74.14,2.406,2.748,113.17,626.75,0,0,8.6,0,0
2026-04-01T15:00:00Z,line-01-pump-01,2320.29,73.74,2.487,2.756,112.59,627.0,0,0,8.6,0,0
2026-04-01T15:15:00Z,line-01-pump-01,2322.05,73.32,2.563,2.766,111.96,627.25,0,0,8.6,0,0
2026-04-01T15:30:00Z,line-01-pump-01,2331.5,72.9,2.63,2.778,111.28,627.5,0,0,8.6,0,0
2026-04-01T15:45:00Z,line-01-pump-01,2348.4,72.46,2.685,2.792,110.56,627.75,0,0,8.6,0,0
2026-04-01T16:00:00Z,line-01-pump-01,2372.27,72.02,2.724,2.808,109.8,628.0,0,0,8.6,0,0
2026-04-01T16:15:00Z,line-01-pump-01,2402.45,71.58,2.746,2.826,109.01,628.25,0,0,8.6,0,0
2026-04-01T16:30:00Z,line-01-pump-01,2438.1,71.14,2.749,2.845,108.19,628.5,0,0,8.6,0,0
2026-04-01T16:45:00Z,line-01-pump-01,2478.25,70.71,2.733,2.864,107.34,628.75,0,0,8.6,0,0
2026-04-01T17:00:00Z,line-01-pump-01,2521.76,70.3,2.699,2.885,106.48,629.0,0,0,8.6,0,0
2026-04-01T17:15:00Z,line-01-pump-01,2567.45,69.9,2.649,2.905,105.61,629.25,0,0,8.6,0,0
2026-04-01T17:30:00Z,line-01-pump-01,2614.04,69.52,2.585,2.925,104.74,629.5,0,0,8.6,0,0
2026-04-01T17:45:00Z,line-01-pump-01,2660.23,69.16,2.512,2.945,103.86,629.75,0,0,8.6,0,0
2026-04-01T18:00:00Z,line-01-pump-01,2704.76,68.84,2.432,2.965,103.0,630.0,0,0,8.6,0,0
2026-04-01T18:15:00Z,line-01-pump-01,2746.39,68.54,2.351,2.983,102.15,630.25,0,0,8.6,0,0
2026-04-01T18:30:00Z,line-01-pump-01,2783.96,68.27,2.272,3.0,101.32,630.5,0,0,8.6,0,0
2026-04-01T18:45:00Z,line-01-pump-01,2816.43,68.04,2.2,3.015,100.51,630.75,0,0,8.6,0,0
2026-04-01T19:00:00Z,line-01-pump-01,2842.9,67.85,2.139,3.028,99.74,631.0,0,0,8.6,0,0
